emp_no,first_name,last_name,title,from_date,to_date
31599,Qingxiang,Gewali,Engineer,1997-09-22,1998-12-01
31629,Toong,Veldwijk,Engineer,1986-07-28,1996-04-26
31909,Murthy,Peek,Engineer,2000-10-30,9999-01-01
32347,Terresa,Peres,Staff,1990-09-15,9999-01-01
32552,Atreye,Stanger,Assistant Engineer,1993-09-10,9999-01-01
32622,Piyush,Paciorek,Staff,1991-07-18,1991-08-07
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,2001-09-18,9999-01-01
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01
33293,Adamantios,Vanwelkenhuysen,Engineer,1994-01-11,2000-08-18
33606,Clyde,Swift,Staff,1994-11-14,1996-12-29
33722,Anwar,Collette,Senior Engineer,2001-02-03,9999-01-01
34077,Angel,Sichman,Staff,1988-11-16,9999-01-01
34261,Kyoichi,Callaway,Senior Staff,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01
34452,Naftaly,Foong,Engineer,1991-05-10,9999-01-01
34505,Felicidad,Kumaresan,Senior Staff,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,Senior Engineer,1995-01-16,9999-01-01
34780,Moni,Kohling,Staff,2001-09-18,9999-01-01
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,Engineer,1989-05-27,9999-01-01
35087,Leif,Ashish,Senior Staff,1994-10-14,9999-01-01
35441,Chandrasekaran,Peek,Senior Engineer,1990-09-17,9999-01-01
35642,Ashish,Talmon,Engineer,1999-02-28,9999-01-01
35793,Oscar,Kusalik,Staff,1991-05-11,9999-01-01
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01
36521,Serif,Gladwell,Senior Staff,1987-03-06,9999-01-01
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,1992-06-23,9999-01-01
37070,Jeong,Undy,Senior Staff,1985-02-13,9999-01-01
37592,Berni,Stranks,Engineer,1985-11-05,1992-09-19
37719,Nakhoon,Buescher,Engineer,1988-06-12,1999-01-17
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01
38017,Ulf,Himler,Staff,1995-08-05,1997-11-28
38043,Michaela,Randi,Senior Engineer,1985-11-23,9999-01-01
38103,Masasuke,Babu,Engineer,1988-03-31,9999-01-01
38168,Fumiko,Deverell,Senior Staff,1987-08-15,9999-01-01
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01
38593,Huei,Orsini,Senior Engineer,1986-06-04,9999-01-01
38947,Shuichi,Ruemmler,Senior Staff,1998-04-08,9999-01-01
39000,Martijn,Vendrig,Staff,1997-03-03,9999-01-01
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01
39268,Constantijn,Awdeh,Engineer,1987-10-20,1990-06-10
39301,Rimon,Kawashima,Senior Staff,1992-02-06,9999-01-01
39341,Mahmut,Lampe,Senior Engineer,1985-05-11,9999-01-01
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,Engineer,1985-05-11,9999-01-01
40301,Spyrose,Felder,Senior Engineer,1997-10-20,9999-01-01
40536,Harngdar,Bernardinello,Engineer,1988-02-29,9999-01-01
40648,Wayne,Erev,Staff,1990-09-19,1993-02-02
40765,Michaela,Ramsak,Staff,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,Senior Staff,1986-04-13,9999-01-01
40785,Youpyo,Castellani,Engineer,1998-09-04,1999-10-14
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01
41137,Bikash,Buchter,Staff,1996-01-08,9999-01-01
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01
41518,Keung,Schapiro,Senior Engineer,2001-02-08,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01
41552,Uno,Heyers,Senior Engineer,1990-09-28,2001-11-29
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01
42778,Shuji,Remmers,Senior Staff,1987-12-18,9999-01-01
42911,Brigham,Eterovic,Engineer,1994-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01
43154,Maha,Waterhouse,Staff,1997-07-04,9999-01-01
43358,Ottavia,Mitsuhashi,Staff,1989-08-18,1996-07-13
43733,Huei,Boguraev,Staff,1993-12-31,9999-01-01
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01
44900,Mark,Schwaller,Staff,1994-08-10,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01
45162,Dulce,Speel,Senior Engineer,1987-10-19,9999-01-01
45590,Masoud,Genin,Technique Leader,1991-02-16,1994-06-01
46000,Zhaofang,Penn,Staff,1997-07-24,9999-01-01
46015,Weiye,Masand,Staff,1995-07-24,2002-01-29
46222,Mrinalini,Strooper,Staff,1990-03-05,1992-09-04
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01
46531,Yaghout,Peng,Assistant Engineer,1995-10-02,1997-10-07
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01
46943,Pasqua,Maraist,Senior Engineer,1993-12-06,9999-01-01
47016,Toong,Litecky,Senior Staff,1989-03-01,9999-01-01
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01
47262,Gonzalo,Binkley,Engineer,1985-08-16,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Staff,1991-08-12,9999-01-01
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01
48275,Sariel,Massonet,Staff,1987-11-20,9999-01-01
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01
48882,Leen,Lamparter,Senior Engineer,1993-06-07,9999-01-01
48904,Yuichiro,Malabarba,Staff,1994-03-07,9999-01-01
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,Senior Staff,1990-03-30,9999-01-01
49017,Filipp,Flanders,Engineer,1990-11-26,9999-01-01
49119,Lena,Peek,Senior Engineer,1991-05-16,9999-01-01
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01
50360,Sumali,Kushner,Engineer,1999-10-30,2001-10-29
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01
50587,Slavian,Yemenis,Technique Leader,1993-08-06,1994-11-18
50670,Boguslaw,Snedden,Staff,1985-02-20,9999-01-01
50831,Marie,Khalid,Senior Engineer,1996-06-11,9999-01-01
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,1991-09-27,9999-01-01
51060,Youngkon,Rohrbach,Engineer,1989-10-20,9999-01-01
51118,Fumiko,Mundy,Staff,1998-09-22,2001-08-20
51142,Rosine,Lakshmanan,Engineer,1986-01-31,9999-01-01
51502,Slavian,Munawer,Senior Staff,1999-08-06,2001-09-04
51868,Remmert,Munke,Assistant Engineer,1991-09-22,1998-05-19
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01
52040,Phule,Heijenga,Staff,1996-12-08,9999-01-01
52283,Trygve,Krupka,Senior Staff,1994-03-11,9999-01-01
52386,Adas,Denti,Senior Staff,1986-05-30,9999-01-01
52590,Jouni,Munoz,Senior Staff,1996-10-07,9999-01-01
52599,Augustine,Mungall,Engineer,1994-01-13,9999-01-01
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01
52770,Shugo,Yurek,Senior Staff,1992-08-28,9999-01-01
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01
52956,Khalil,Picci,Senior Engineer,1998-11-24,9999-01-01
52970,Lobel,Werthner,Engineer,1988-03-17,9999-01-01
53088,Mechthild,Lamma,Senior Engineer,1986-05-19,1993-06-03
53278,Premsyl,Lortz,Senior Staff,1993-02-01,9999-01-01
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,1993-05-24,9999-01-01
53499,Zdislav,Mandelberg,Senior Engineer,1994-09-11,9999-01-01
53597,Jiafu,Marchegay,Engineer,1985-03-02,9999-01-01
53746,Manu,Erva,Staff,1989-03-17,1993-04-29
53874,Bodo,Schade,Senior Staff,1986-02-14,9999-01-01
53891,Olivera,Pargaonkar,Staff,1989-03-13,1992-03-29
53924,Arnould,Gaughan,Engineer,1991-01-23,9999-01-01
54198,Shaowen,Segond,Senior Engineer,1986-01-06,9999-01-01
54632,Etsuo,Serot,Staff,1989-06-14,9999-01-01
54795,Sumant,Nergos,Staff,1994-03-02,9999-01-01
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01
55121,Toshiko,Alblas,Engineer,1995-07-20,1996-07-23
55640,Adit,Syrotiuk,Engineer,1993-07-16,9999-01-01
55670,Ulf,Ranft,Senior Staff,1996-02-26,1996-05-17
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Engineer,1987-06-17,9999-01-01
55857,Adin,Scallan,Senior Staff,1987-09-15,9999-01-01
56105,Makato,Remmers,Senior Engineer,1989-04-16,9999-01-01
56209,Remzi,Douceur,Engineer,1992-12-01,9999-01-01
56415,Sigeru,Nivat,Staff,1991-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,1986-11-10,9999-01-01
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,Engineer,1997-06-14,9999-01-01
56847,Menkae,Chinin,Senior Engineer,1998-08-27,9999-01-01
57934,Sanjoy,Boudaillier,Engineer,1989-12-27,9999-01-01
57982,Paloma,Benzaken,Senior Staff,1989-10-17,1998-09-11
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01
58217,Kiyotoshi,Kusalik,Engineer,1998-11-19,1999-06-26
58384,Mariusz,Vural,Engineer,1993-11-14,9999-01-01
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01
58497,Yechiam,Cairo,Senior Staff,2000-10-21,9999-01-01
58601,Sungwon,Asser,Staff,2000-01-27,2000-04-01
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01
59329,Zissis,Bazzichi,Staff,1987-02-07,1991-01-25
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01
59661,Saeko,Baik,Staff,1997-10-11,1999-08-15
59869,Zsolt,Riefers,Senior Staff,1987-09-25,9999-01-01
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01
60000,Heekeun,Emmart,Assistant Engineer,1995-09-23,9999-01-01
60091,Surveyors,Bade,Senior Staff,1990-04-11,9999-01-01
60238,Erzsebet,Claffy,Staff,1999-02-19,9999-01-01
60559,Jeanna,Stemann,Engineer,1988-08-29,9999-01-01
60821,Moty,Mersereau,Senior Staff,1991-09-03,9999-01-01
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01
60875,Rildo,Masaki,Engineer,1990-01-14,9999-01-01
60959,Tetsushi,Sridhar,Senior Staff,1989-10-19,9999-01-01
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Engineer,2002-05-09,9999-01-01
61377,Dannz,Ohori,Senior Staff,1997-04-13,9999-01-01
61541,Kasidit,Papsdorf,Engineer,1993-08-17,9999-01-01
61680,Hauke,Templeman,Staff,1991-10-23,1999-02-21
61873,Woody,Rusmann,Assistant Engineer,1993-02-26,9999-01-01
61983,Sastry,Reeken,Staff,1990-07-24,1992-05-17
62033,Heeju,Cappelli,Engineer,1987-01-15,9999-01-01
62046,Karlis,Nanard,Engineer,1992-09-19,9999-01-01
62167,Mihalis,Haldar,Senior Engineer,1998-05-11,2001-02-03
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01
62384,Akeel,Litzler,Senior Staff,1999-10-23,2001-12-21
63294,Tetsushi,Tanemo,Engineer,1997-03-01,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01
63444,Padma,Peres,Senior Staff,1985-02-20,1994-12-22
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,1987-10-15,9999-01-01
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01
64431,Faiza,Zongker,Technique Leader,1995-12-10,2001-12-03
64487,Tsutomu,Rebaine,Engineer,1986-09-17,9999-01-01
64532,Atilio,Segond,Senior Engineer,1990-11-29,9999-01-01
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01
64790,Shin,Piveteau,Engineer,1985-04-19,9999-01-01
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Engineer,1994-08-04,9999-01-01
65013,Chandrasekaran,Peral,Engineer,1985-02-28,2001-12-14
65171,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01
65539,Aksel,Picaronny,Senior Engineer,1991-01-27,9999-01-01
65883,Patricia,Pepe,Senior Staff,1991-04-19,9999-01-01
65998,Mandell,Alameldin,Senior Staff,1989-04-08,9999-01-01
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,Engineer,1994-09-27,9999-01-01
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01
66807,Aiman,Rosaz,Senior Engineer,1990-05-22,9999-01-01
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01
67934,Aiman,Gargeya,Engineer,1985-03-07,9999-01-01
68022,Kristinn,Pearson,Staff,1995-05-07,1999-06-26
68168,Marl,Thiria,Staff,1987-03-18,1996-12-31
68263,Fumiko,Bodoff,Staff,1991-12-19,1993-07-11
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,Engineer,1989-06-09,9999-01-01
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01
68648,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Senior Staff,1994-11-19,9999-01-01
69867,Miyeon,Rothe,Senior Staff,1991-04-09,9999-01-01
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01
69936,Lalit,Unni,Assistant Engineer,1999-01-31,9999-01-01
70469,Tru,Miyakawa,Senior Staff,1990-09-03,9999-01-01
70780,Behnaam,Angelov,Assistant Engineer,1995-01-29,1999-07-20
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01
71066,Domenick,Basart,Senior Staff,1996-01-05,9999-01-01
71141,Sajjad,Vitiello,Senior Staff,1992-02-17,9999-01-01
71188,Pranjal,Schapiro,Staff,1986-12-14,9999-01-01
71243,Kinh,Buchter,Engineer,1986-03-29,9999-01-01
71334,Cathie,Peck,Engineer,2001-03-04,9999-01-01
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01
71745,Adil,Laventhal,Assistant Engineer,1992-05-13,9999-01-01
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,Engineer,1989-07-10,9999-01-01
72640,Honglan,Hutton,Engineer,1993-10-04,9999-01-01
72918,Takahira,Szilard,Staff,1988-01-16,9999-01-01
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01
73516,Qingxiang,Badache,Engineer,1989-06-25,9999-01-01
73743,Anneke,Bernardeschi,Engineer,2000-10-15,9999-01-01
73794,Aiichiro,Castellani,Engineer,1985-08-26,1987-08-19
73903,Bartek,Cappello,Engineer,1988-07-28,1993-01-02
74200,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01
74237,Jaihie,Vilarrasa,Engineer,1992-03-03,2001-06-20
74344,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01
74598,Kolar,Garigliano,Senior Staff,1992-05-10,1999-03-07
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01
74800,Yuuichi,Conde,Engineer,1989-03-08,9999-01-01
75113,Zissis,Birch,Senior Engineer,1994-08-19,2000-07-15
75354,Shuky,Jakobus,Engineer,1986-06-16,9999-01-01
75420,Clyde,Vrecion,Engineer,1997-07-03,2000-09-14
75703,Kyoichi,Erman,Engineer,1996-07-25,9999-01-01
75760,Jahangir,Radhakrishnan,Technique Leader,1991-04-19,1993-12-29
75888,Marsal,Otillio,Staff,1994-01-23,1999-09-16
76178,Chiradeep,Meriste,Senior Engineer,1988-05-23,1997-06-25
76189,Kolar,Hinsberger,Engineer,1986-10-20,9999-01-01
76201,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01
76417,Parviz,Duclos,Senior Engineer,1989-12-27,1993-12-31
76598,Keung,Ferriere,Engineer,1991-05-13,1995-10-08
76640,Tristan,Mitsuhashi,Senior Engineer,1994-07-13,9999-01-01
76847,Mariusz,Weiland,Senior Engineer,1989-08-16,1994-11-09
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01
77157,Tesuro,Nicolson,Staff,1996-06-01,1999-10-20
77303,Xinglin,Birge,Senior Staff,1992-03-05,9999-01-01
77647,Niranjan,Schaaf,Technique Leader,1989-11-05,9999-01-01
77815,Ronghao,Picaronny,Engineer,1993-06-09,9999-01-01
78086,Fabrizio,Anick,Staff,1997-12-16,1998-05-02
78106,Ashish,Ratnaker,Senior Staff,2000-01-17,9999-01-01
78171,Teiji,Hinsberger,Senior Staff,1997-01-25,2002-05-18
